"cod_mun6","municipio_residencia","rras_id","rras_nome","regiao_de_saude","drs"
"351380","DIADEMA",1,"RRAS 1","Grande ABC","Grande São Paulo"
"352940","MAUÁ",1,"RRAS 1","Grande ABC","Grande São Paulo"
"354330","RIBEIRÃO PIRES",1,"RRAS 1","Grande ABC","Grande São Paulo"
"354410","RIO GRANDE DA SERRA",1,"RRAS 1","Grande ABC","Grande São Paulo"
"354780","SANTO ANDRÉ",1,"RRAS 1","Grande ABC","Grande São Paulo"
"354870","SÃO BERNARDO DO CAMPO",1,"RRAS 1","Grande ABC","Grande São Paulo"
"354880","SÃO CAETANO DO SUL",1,"RRAS 1","Grande ABC","Grande São Paulo"
"350010","ADAMANTINA",10,"RRAS 10","Adamantina","Marília"
"351600","FLÓRIDA PAULISTA",10,"RRAS 10","Adamantina","Marília"
"352080","INÚBIA PAULISTA",10,"RRAS 10","Adamantina","Marília"
"352740","LUCÉLIA",10,"RRAS 10","Adamantina","Marília"
"352890","MARIÁPOLIS",10,"RRAS 10","Adamantina","Marília"
"353460","OSVALDO CRUZ",10,"RRAS 10","Adamantina","Marília"
"353490","PACAEMBU",10,"RRAS 10","Adamantina","Marília"
"354085","PRACINHA",10,"RRAS 10","Adamantina","Marília"
"354470","SAGRES",10,"RRAS 10","Adamantina","Marília"
"354510","SALMOURÃO",10,"RRAS 10","Adamantina","Marília"
"350400","ASSIS",10,"RRAS 10","Assis","Marília"
"350720","BORÁ",10,"RRAS 10","Assis","Marília"
"351000","CÂNDIDO MOTA",10,"RRAS 10","Assis","Marília"
"351330","CRUZÁLIA",10,"RRAS 10","Assis","Marília"
"351610","FLORÍNIA",10,"RRAS 10","Assis","Marília"
"352790","LUTÉCIA",10,"RRAS 10","Assis","Marília"
"352880","MARACAÍ",10,"RRAS 10","Assis","Marília"
"353530","PALMITAL",10,"RRAS 10","Assis","Marília"
"353550","PARAGUAÇU PAULISTA",10,"RRAS 10","Assis","Marília"
"353715","PEDRINHAS PAULISTA",10,"RRAS 10","Assis","Marília"
"353970","PLATINA",10,"RRAS 10","Assis","Marília"
"355395","TARUMÃ",10,"RRAS 10","Assis","Marília"
"350140","ÁLVARO DE CARVALHO",10,"RRAS 10","Marília","Marília"
"350150","ALVINLÂNDIA",10,"RRAS 10","Marília","Marília"
"350980","CAMPOS NOVOS PAULISTA",10,"RRAS 10","Marília","Marília"
"351470","ECHAPORÃ",10,"RRAS 10","Marília","Marília"
