"variavel","desfecho","nivel","n","media","dp","mediana","q1","q3","minimo","maximo"
"idademae_categorico","Óbito fetal","20–34",2134,29.4268978444236,6.21539066642645,29,24,35,3,42
"idademae_categorico","Óbito fetal","35+",817,29.6034271725826,6.22942794755823,30,24,35,3,43
"idademae_categorico","Óbito fetal","<20",315,28.631746031746,5.82857078429387,28,24,33,20,42
"idademae_categorico","Nascimento vivo","20–34",342235,38.3345449764051,2.09293362423569,39,38,39,19,45
"idademae_categorico","Nascimento vivo","35+",103873,37.9535297911873,2.12347197858128,38,37,39,19,45
"idademae_categorico","Nascimento vivo","<20",39814,38.3602250464661,2.37078419459144,39,38,40,19,45
"sexo","Óbito fetal","Feminino",1528,29.5006544502618,5.97254136779419,29,24,35,3,42
"sexo","Óbito fetal","Masculino",1738,29.300920598389,6.36862354643826,29,24,35,3,43
"sexo","Nascimento vivo","Feminino",237903,38.290706716603,2.10112151446901,39,38,39,19,45
"sexo","Nascimento vivo","Masculino",248019,38.2211443478121,2.15560506756511,39,38,39,19,45
"escmae2010","Óbito fetal","Alta escolaridade",673,28.7325408618128,6.02399188304841,28,23,34,3,42
"escmae2010","Óbito fetal","Baixa escolaridade",688,29.6700581395349,6.3647161477514,30,24,35,3,43
"escmae2010","Óbito fetal","Média escolaridade",1905,29.5286089238845,6.16461382915673,30,24,35,3,42
"escmae2010","Nascimento vivo","Alta escolaridade",143246,38.1702246485068,1.99205942648205,39,38,39,19,45
"escmae2010","Nascimento vivo","Baixa escolaridade",55882,38.1947675459003,2.29831747213176,39,37,40,19,45
"escmae2010","Nascimento vivo","Média escolaridade",286794,38.3094206991778,2.1596323871337,39,38,40,19,45
"qtdfilvivo_categorico","Óbito fetal","Não",1497,28.8390113560454,6.08716771467944,28,23,34,3,42
"qtdfilvivo_categorico","Óbito fetal","Sim",1769,29.864330130017,6.2321890665027,30,25,35,3,43
"qtdfilvivo_categorico","Nascimento vivo","Não",216635,38.2962402197244,2.23817315135644,39,38,40,19,45
"qtdfilvivo_categorico","Nascimento vivo","Sim",269287,38.22218673757,2.03706302372752,39,38,39,19,45
"qtdfilmort_categorico","Óbito fetal","Não",1929,29.6770347330223,6.06764225123221,30,24,35,3,42
"qtdfilmort_categorico","Óbito fetal","Sim",1337,28.9865370231862,6.33376547400152,28,24,34,3,43
"qtdfilmort_categorico","Nascimento vivo","Não",382064,38.3070925290004,2.09538231473979,39,38,39,19,45
"qtdfilmort_categorico","Nascimento vivo","Sim",103858,38.0643089603112,2.23974765835487,38,37,39,19,45
"gravidez","Óbito fetal","Múltipla",247,27.1619433198381,5.79582211008358,26,22,32,9,41
"gravidez","Óbito fetal","Única",3019,29.5770122557138,6.18252428845893,30,24,35,3,43
"gravidez","Nascimento vivo","Múltipla",12876,34.9442373407891,3.15536790168829,36,34,37,19,44
"gravidez","Nascimento vivo","Única",473046,38.3453237105905,2.01995247323386,39,38,39,19,45
"parto","Óbito fetal","Cesáreo",956,32.9780334728033,4.73955602477357,34,30,37,4,42
"parto","Óbito fetal","Vaginal",2310,27.9112554112554,6.10797912493201,27,23,32,3,43
"parto","Nascimento vivo","Cesáreo",296562,38.154689407274,2.07124611558859,39,37,39,19,45
"parto","Nascimento vivo","Vaginal",189360,38.4126161808196,2.20821159257717,39,38,40,19,45
"peso_categorico","Óbito fetal","2500g-3999g",511,37.0450097847358,3.50796426495736,37,36,39,4,42
"peso_categorico","Óbito fetal","4000g+",35,37.3428571428571,2.11358153160845,37,36.5,38,30,43
"peso_categorico","Óbito fetal","<2500g",2720,27.8547794117647,5.42282230856169,27,23,32,3,41
"peso_categorico","Nascimento vivo","2500g-3999g",420310,38.6178820394471,1.4423113045392,39,38,39,19,45
"peso_categorico","Nascimento vivo","4000g+",17393,39.2060599091589,1.28346378318565,39,39,40,20,45
"peso_categorico","Nascimento vivo","<2500g",48219,34.7508451025529,3.63506096176357,36,33,37,19,45
"lococornasc","Óbito fetal","Hospital",3183,29.3917687715991,6.17446090145327,29,24,35,3,43
"lococornasc","Óbito fetal","Outros",83,29.4939759036145,6.66511393417321,29,25,35,3,40
"lococornasc","Nascimento vivo","Hospital",483632,38.2545116948424,2.12857867746148,39,38,39,19,45
"lococornasc","Nascimento vivo","Outros",2290,38.4008733624454,2.28945177956909,39,38,40,20,45
